,name,hymeniumType,capShape,whichGills,stipeCharacter,sporePrintColor,ecologicalType,howEdible
186,Cortinarius purpurascens,gills on hymenium,cap is convex,hymenium is emarginate,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: edible
187,Cortinarius rotundisporus,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is reddish-brown,ecology is mycorrhizal,edibility: unknown
188,Cortinarius semisanguineus,gills on hymenium,"cap is campanulate
   or umbonate","hymenium is adnate
   or sinuate",stipe has a cortina,spore print is reddish-brown,ecology is mycorrhizal,edibility: poisonous
189,Cortinarius triumphans,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is reddish-brown,ecology is mycorrhizal,edibility: unknown
190,Cortinarius vanduzerensis,gills on hymenium,"cap is conical
   or campanulate","hymenium is adnate
   or adnexed",stipe has a cortina,spore print is reddish-brown,ecology is mycorrhizal,edibility: unknown
191,Cortinarius varius,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is reddish-brown,ecology is mycorrhizal,edibility: edible
192,Cortinarius violaceus,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is reddish-brown,ecology is mycorrhizal,edibility: edible
193,Craterellus,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,"spore print is cream
   to salmon",ecology is saprotrophic,edibility: choice
194,Craterellus cornucopioides,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,"spore print is cream
   to buff",ecology is saprotrophic,edibility: choice
195,Craterellus fallax,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is yellow-orange,ecology is saprotrophic,edibility: choice
196,Craterellus lutescens,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,"spore print is cream
   to salmon",ecology is saprotrophic,edibility: choice
197,Craterellus tubaeformis,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,"spore print is cream
   to salmon",ecology is saprotrophic,edibility: choice
198,Crepidotus versutus,gills on hymenium,cap is convex,hymenium attachment is not applicable,lacks a stipe,spore print is reddish-brown,ecology is saprotrophic,edibility: can cause allergic reactions
199,Cyptotrama asprata,gills on hymenium,cap is convex,hymenium is decurrent,"stipe has a ring
   or is bare",spore print is white,ecology is saprotrophic,edibility: unknown
200,Cystoderma amianthinum,gills on hymenium,"cap is convex
   or umbonate",hymenium is adnexed,stipe has a ring,spore print is white,ecology is saprotrophic,"edibility: edible, but unpalatable"
201,Cystoderma carcharias,gills on hymenium,"cap is convex
   or flat",or adnate,stipe has a ring,spore print is white,ecology is saprotrophic,edibility: inedible
202,Cystodermella cinnabarina,gills on hymenium,"cap is convex
   or flat","hymenium is emarginate
   or adnate",stipe has a ring,spore print is white,ecology is saprotrophic,edibility: not recommended
203,Cystolepiota bucknallii,gills on hymenium,cap is convex,hymenium is free,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
204,Daedalea quercina,pores on hymenium,no distinct cap,hymenium is decurrent,lacks a stipe,spore print is white,ecology is saprotrophic,edibility: inedible
205,Daldinia concentrica,glebal hymenium,no distinct cap,hymenium attachment is not applicable,lacks a stipe,spore print is black,ecology is saprotrophic,edibility: inedible
206,Deconica inquilina,gills on hymenium,"cap is convex
   or conical","hymenium is adnate
   or sinuate",stipe has a cortina,spore print is purple-brown,ecology is saprotrophic,edibility: unknown
207,Deconica montana,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: unknown
208,Discina perlata,smooth hymenium,cap is umbilicate,hymenium is decurrent,stipe is bare,spore print is brown,ecology is saprotrophic,edibility: not recommended
209,Enokitake,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: choice
210,Entoloma rhodopolium,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is pink,ecology is mycorrhizal,edibility: poisonous
211,Entoloma sinuatum,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is pink,ecology is mycorrhizal,edibility: poisonous
212,Exsudoporus floridanus,pores on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: edible
213,Exsudoporus frostii,pores on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,edibility: edible
214,Fistulina hepatica,pores on hymenium,cap is flat,hymenium is decurrent,stipe is bare,spore print is pink,ecology is parasitic,edibility: edible
215,Fomitopsis betulina,pores on hymenium,no distinct cap,hymenium is decurrent,lacks a stipe,spore print is white,ecology is parasitic,edibility: edible
216,Fomitopsis pinicola,pores on hymenium,no distinct cap,hymenium is decurrent,lacks a stipe,spore print is yellow,ecology is saprotrophic,edibility: inedible
217,Galerina,gills on hymenium,cap is convex,hymenium is adnexed,"stipe has a ring
   or is bare","spore print is yellow-orange
   to brown",ecology is saprotrophic,edibility: deadly
218,Galerina marginata,gills on hymenium,cap is convex,hymenium is adnexed,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: deadly
219,Galerina sulciceps,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,"stipe has a ring
   or is bare","spore print is yellow-orange
   to brown",ecology is saprotrophic,edibility: deadly
220,Ganoderma applanatum,pores on hymenium,no distinct cap,hymenium is decurrent,lacks a stipe,spore print is brown,ecology is parasitic,edibility: inedible
221,Ganoderma curtisii,pores on hymenium,cap is offset,"hymenium is decurrent
   or subdecurrent",stipe is bare,spore print is brown,ecology is saprotrophic,edibility: inedible
222,Ganoderma multipileum,pores on hymenium,"cap is offset
   or indistinct",hymenium attachment is irregular or not applicable,"stipe is bare
   or lacks a stipe",spore print is brown,"ecology is saprotrophic
   or parasitic",edibility: edible
223,Ganoderma sichuanense,pores on hymenium,cap is flat,hymenium is adnate,stipe is bare,spore print is brown,"ecology is saprotrophic
   or parasitic",edibility: inedible
224,Ganoderma tsugae,pores on hymenium,cap is flat,hymenium is adnate,stipe is bare,spore print is brown,"ecology is saprotrophic
   or parasitic",edibility: inedible
225,Gliophorus psittacinus,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
226,Gomphidius glutinosus,gills on hymenium,"cap is flat
   or convex",hymenium is decurrent,stipe has a ring,spore print is blackish-brown,ecology is mycorrhizal,edibility: edible
227,Gomphidius roseus,gills on hymenium,"cap is flat
   or convex",hymenium is decurrent,stipe has a ring,spore print is blackish-brown,ecology is mycorrhizal,edibility: edible
228,Gomphus clavatus,ridges on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: edible
229,Grifola frondosa,pores on hymenium,"cap is offset
   or indistinct",hymenium is decurrent,lacks a stipe,spore print is white,ecology is parasitic,edibility: choice
230,Gymnopilus aeruginosus,gills on hymenium,cap is convex,"hymenium is adnexed
   or adnate",stipe has a ring,spore print is yellow-orange,ecology is saprotrophic,edibility: psychoactive
231,Gymnopilus junonius,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is reddish-brown,ecology is saprotrophic,"edibility: psychoactive
   or poisonous"
232,Gymnopilus liquiritiae,gills on hymenium,cap is convex,"hymenium is adnexed
   or adnate",stipe is bare,spore print is yellow-orange,ecology is saprotrophic,edibility: psychoactive
233,Gymnopilus luteofolius,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is reddish-brown,ecology is saprotrophic,edibility: psychoactive
234,Gymnopilus luteoviridis,gills on hymenium,cap is convex,"hymenium is adnexed
   or adnate",stipe has a ring,spore print is yellow-orange,ecology is saprotrophic,edibility: psychoactive
235,Gymnopilus luteus,gills on hymenium,cap is convex,"hymenium is adnexed
   or adnate",stipe has a ring,spore print is yellow-orange,ecology is saprotrophic,edibility: psychoactive
236,Gymnopilus purpuratus,gills on hymenium,cap is convex,hymenium is adnexed,stipe has a ring,spore print is yellow-orange,ecology is saprotrophic,edibility: psychoactive
237,Gymnopilus sapineus,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is reddish-brown,ecology is saprotrophic,edibility: inedible
238,Gymnopilus validipes,gills on hymenium,cap is convex,"hymenium is adnexed
   or adnate",stipe has a ring,spore print is yellow-orange,ecology is saprotrophic,edibility: psychoactive
239,Gymnopus dryophilus,gills on hymenium,cap is convex,"hymenium is adnexed
   or free",stipe is bare,"spore print is white
   to cream",ecology is saprotrophic,edibility: edible
240,Gymnopus fusipes,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is white,"ecology is parasitic
   or saprotrophic",edibility: edible
241,Gymnopus peronatus,gills on hymenium,cap is convex,hymenium is free,stipe is bare,spore print is white,ecology is saprotrophic,edibility: not recommended
242,Gyromitra caroliniana,smooth hymenium,cap is convex,hymenium attachment is not applicable,stipe is bare,spore print is yellow,ecology is saprotrophic,edibility: edible
243,Gyromitra esculenta,smooth hymenium,cap is convex,hymenium attachment is not applicable,stipe is bare,"spore print is yellow
   to buff","ecology is saprotrophic
   or mycorrhizal",edibility: deadly
244,Gyromitra gigas,smooth hymenium,cap is convex,hymenium attachment is irregular or not applicable,stipe is bare,"spore print is yellow
   to buff","ecology is saprotrophic
   or mycorrhizal","edibility: choice
   but not recommended"
245,Gyromitra infula,smooth hymenium,cap is convex,hymenium attachment is not applicable,stipe is bare,"spore print is yellow
   to buff","ecology is saprotrophic
   or mycorrhizal","edibility: inedible
   or poisonous"
246,Gyroporus cyanescens,pores on hymenium,"cap is convex
   or flat",hymenium attachment is irregular or not applicable,stipe is bare,"spore print is cream
   to yellow",ecology is mycorrhizal,edibility: edible
247,Handkea utriformis,glebal hymenium,no distinct cap,hymenium attachment is not applicable,lacks a stipe,spore print is brown,ecology is saprotrophic,edibility: edible
248,Hebeloma aminophilum,gills on hymenium,"cap is convex
   or depressed","hymenium is adnate
   or adnexed",stipe is bare,"spore print is pink
   to brown",ecology is saprotrophic,edibility: unknown
249,Hebeloma crustuliniforme,gills on hymenium,cap is umbonate,hymenium is adnate,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: poisonous
250,Hebeloma gigaspermum,gills on hymenium,cap is convex,hymenium is emarginate,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: unknown
251,Helvella crispa,smooth hymenium,cap is convex,hymenium attachment is not applicable,stipe is bare,spore print is white,"ecology is saprotrophic
   or mycorrhizal","edibility: edible
   or poisonous"
252,Helvella elastica,smooth hymenium,cap is convex,hymenium attachment is not applicable,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: not recommended
253,Helvella lacunosa,smooth hymenium,cap is convex,hymenium attachment is not applicable,stipe is bare,spore print is white,"ecology is saprotrophic
   or mycorrhizal","edibility: edible
   or poisonous"
254,Heterobasidion annosum,pores on hymenium,"no distinct cap
   or offset",hymenium is decurrent,"lacks a stipe
   or is bare",spore print is white,ecology is parasitic,edibility: inedible
255,Humidicutis marginata,gills on hymenium,cap is umbonate,hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
256,Hydnellum scabrosum,teeth on hymenium,"cap is convex
   or flat","hymenium is subdecurrent
   or adnate",stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: inedible
257,Hydnum repandum,teeth on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,"spore print is white
   to cream",ecology is mycorrhizal,edibility: choice
258,Hygrocybe aurantipes,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
259,Hygrocybe austropratensis,gills on hymenium,cap is convex,hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
260,Hygrocybe coccinea,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
261,Hygrocybe conica,gills on hymenium,cap is conical,hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: inedible
262,Hygrocybe flavescens,gills on hymenium,cap is conical,hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: not recommended
263,Hygrocybe nigrescens,gills on hymenium,cap is conical,hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
264,Hygrocybe punicea,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
265,Hygrocybe singeri,gills on hymenium,cap is conical,hymenium is adnexed,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: unknown
266,Hygrocybe virescens,gills on hymenium,cap is flat,hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
267,Hygrophoropsis aurantiaca,gills on hymenium,"cap is depressed
   or infundibuliform",hymenium is decurrent,stipe is bare,"spore print is white
   to cream",ecology is saprotrophic,edibility: not recommended
268,Hygrophorus agathosmus,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
269,Hygrophorus bakerensis,gills on hymenium,"cap is convex
   or flat",hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
270,Hygrophorus eburneus,gills on hymenium,"cap is convex
   or flat",hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
271,Hygrophorus olivaceoalbus,gills on hymenium,cap is umbonate,"hymenium is adnate
   or decurrent","stipe is bare
   or has a ring",spore print is white,ecology is mycorrhizal,edibility: choice
272,Hypholoma capnoides,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: edible
273,Hypholoma fasciculare,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is purple-brown,ecology is saprotrophic,edibility: poisonous
274,Hypholoma lateritium,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: not recommended
275,Ileodictyon cibarium,glebal hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is olive-brown,ecology is saprotrophic,edibility: edible
276,Imleria badia,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,"spore print is olive
   to olive-brown",ecology is mycorrhizal,edibility: edible
277,Infundibulicybe geotropa,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
278,Infundibulicybe gibba,gills on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
279,Inocybe aeruginascens,gills on hymenium,"cap is conical
   or convex","hymenium is adnate
   or emarginate",stipe is bare,spore print is tan,ecology is mycorrhizal,edibility: psychoactive
280,Inocybe cookei,gills on hymenium,cap is campanulate,hymenium is adnexed,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: poisonous
281,Inocybe corydalina var. corydalina,gills on hymenium,"cap is conical
   or convex",hymenium is adnate,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: psychoactive
282,Inocybe erubescens,gills on hymenium,"cap is campanulate
   or conical",hymenium is adnate,stipe is bare,spore print is brown,ecology is mycorrhizal,"edibility: poisonous
   or deadly"
283,Inocybe geophylla,gills on hymenium,"cap is umbonate
   or conical",hymenium is adnexed,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: poisonous
284,Inocybe hystrix,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,"stipe is bare
   or has a cortina",spore print is brown,ecology is mycorrhizal,edibility: poisonous
285,Inocybe lacera,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: poisonous
286,Inocybe praetervisa,gills on hymenium,cap is campanulate,hymenium is adnexed,stipe is bare,spore print is brown,ecology is mycorrhizal,"edibility: not recommended
   or poisonous"
287,Inocybe tricolor,gills on hymenium,"cap is flat
   or umbonate",hymenium is adnate,stipe is bare,"spore print is tan
   to yellow",ecology is mycorrhizal,edibility: psychoactive
288,Inonotus hispidus,pores on hymenium,no distinct cap,hymenium attachment is not applicable,lacks a stipe,spore print is brown,ecology is parasitic,edibility: inedible
289,Kuehneromyces mutabilis,gills on hymenium,cap is convex,hymenium is adnexed,stipe has a ring,spore print is brown,ecology is saprotrophic,"edibility: choice
   but not recommended"
290,Laccaria amethysteo-occidentalis,gills on hymenium,"cap is convex
   or depressed","hymenium is adnate
   or decurrent",stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
291,Laccaria amethystina,gills on hymenium,"cap is convex
   or depressed","hymenium is adnate
   or decurrent",stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
292,Laccaria bicolor,gills on hymenium,"cap is convex
   or depressed",hymenium is adnate,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
293,Laccaria fraterna,gills on hymenium,"cap is convex
   or depressed","hymenium is adnate
   or decurrent",stipe is bare,spore print is white,ecology is mycorrhizal,edibility: unknown
294,Laccaria laccata,gills on hymenium,"cap is convex
   or flat","hymenium is adnate
   or decurrent",stipe is bare,spore print is white,ecology is mycorrhizal,"edibility: edible
   but not recommended"
295,Laccaria proxima,gills on hymenium,"cap is convex
   or depressed","hymenium is adnate
   or decurrent",stipe is bare,spore print is white,ecology is mycorrhizal,edibility: unknown
296,Lacrymaria lacrymabunda,gills on hymenium,cap is campanulate,hymenium is adnate,stipe is bare,spore print is black,ecology is saprotrophic,edibility: not recommended
297,Lactarius affinis,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,"edibility: edible, but unpalatable"
298,Lactarius alnicola,gills on hymenium,cap is depressed,"hymenium is adnate
   or decurrent",stipe is bare,"spore print is white
   to yellow",ecology is mycorrhizal,edibility: inedible
299,Lactarius aspideoides,gills on hymenium,cap is depressed,hymenium is adnate,stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: unknown
300,Lactarius blennius,gills on hymenium,cap is convex,"hymenium is decurrent
   or adnate",stipe is bare,spore print is cream,ecology is mycorrhizal,edibility: inedible
301,Lactarius controversus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: inedible
302,Lactarius deliciosus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is tan,ecology is mycorrhizal,edibility: choice
303,Lactarius deterrimus,gills on hymenium,"cap is depressed
   or convex",hymenium is decurrent,stipe is bare,spore print is tan,ecology is mycorrhizal,edibility: edible
304,Lactarius fallax,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: unknown
305,Lactarius glyciosmus,gills on hymenium,cap is convex,hymenium is decurrent,stipe is bare,spore print is cream,ecology is mycorrhizal,edibility: edible
306,Lactarius helvus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is tan,ecology is mycorrhizal,edibility: poisonous
307,Lactarius indigo,gills on hymenium,cap is depressed,"hymenium is adnate
   or decurrent",stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: edible
308,Lactarius pallescens,gills on hymenium,"cap is flat
   or depressed",hymenium is subdecurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: poisonous
309,Lactarius pallidus,gills on hymenium,"cap is convex
   or depressed",hymenium is decurrent,stipe is bare,spore print is ochre,ecology is mycorrhizal,edibility: edible
310,Lactarius pubescens,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is cream,ecology is mycorrhizal,edibility: unknown
311,Lactarius pyrogalus,gills on hymenium,cap is flat,hymenium is decurrent,stipe is bare,spore print is ochre,ecology is mycorrhizal,edibility: inedible
312,Lactarius quietus,gills on hymenium,"cap is convex
   or flat",hymenium is decurrent,stipe is bare,spore print is cream,ecology is mycorrhizal,edibility: unknown
313,Lactarius repraesentaneus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: poisonous
314,Lactarius rubrilacteus,gills on hymenium,cap is convex,hymenium is decurrent,stipe is bare,spore print is cream,ecology is mycorrhizal,edibility: edible
315,Lactarius rufulus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,"spore print is cream
   to yellow",ecology is mycorrhizal,edibility: edible
316,Lactarius sanguifluus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is tan,ecology is mycorrhizal,edibility: choice
317,Lactarius scrobiculatus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is cream,ecology is mycorrhizal,edibility: inedible
318,Lactarius semisanguifluus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is tan,ecology is mycorrhizal,edibility: choice
319,Lactarius subdulcis,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is cream,ecology is mycorrhizal,edibility: edible
320,Lactarius subflammeus,gills on hymenium,cap is convex,"hymenium is adnate
   or decurrent",stipe is bare,spore print is white,ecology is mycorrhizal,edibility: unknown
321,Lactarius tabidus,gills on hymenium,cap is convex,hymenium is decurrent,stipe is bare,spore print is cream,ecology is mycorrhizal,edibility: inedible
322,Lactarius torminosus,gills on hymenium,"cap is convex
   or depressed",hymenium is decurrent,stipe is bare,"spore print is cream
   to yellow",ecology is mycorrhizal,"edibility: edible
   but not recommended"
323,Lactarius turpis,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,"edibility: edible
   but not recommended"
324,Lactarius uvidus,gills on hymenium,"cap is flat
   or depressed",hymenium is subdecurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: inedible
325,Lactarius vietus,gills on hymenium,"cap is convex
   or infundibuliform","hymenium is decurrent
   or adnate",stipe is bare,"spore print is white
   to yellow",ecology is mycorrhizal,"edibility: inedible
   or edible"
326,Lactarius vinaceorufescens,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,"spore print is white
   to yellow",ecology is mycorrhizal,edibility: poisonous
327,Lactarius xanthogalactus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,"spore print is white
   to yellow",ecology is mycorrhizal,edibility: poisonous
328,Lactifluus deceptivus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,"edibility: edible, but unpalatable"
329,Lactifluus piperatus,gills on hymenium,cap is convex,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
330,Lactifluus vellereus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: inedible
331,Lactifluus volemus,gills on hymenium,cap is convex,"hymenium is adnate
   or decurrent",stipe is bare,spore print is white,ecology is mycorrhizal,edibility: choice
332,Laetiporus sulphureus,pores on hymenium,cap is flat,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is white,"ecology is saprotrophic
   or parasitic",edibility: choice
333,Leccinum aurantiacum,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive,ecology is mycorrhizal,edibility: edible
334,Leccinum manzanitae,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: choice
335,Leccinum scabrum,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive,ecology is mycorrhizal,edibility: edible
336,Lentinellus cochleatus,gills on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
337,Lentinula edodes,gills on hymenium,cap is convex,hymenium is free,stipe is bare,"spore print is white
   to buff",ecology is saprotrophic,edibility: choice
338,Lenzites elegans,pores on hymenium,"cap is offset
   or indistinct",hymenium is decurrent,lacks a stipe,spore print is white,ecology is saprotrophic,edibility: inedible
339,Leotia atrovirens,smooth hymenium,cap is convex,hymenium attachment is not applicable,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
340,Leotia viscosa,smooth hymenium,cap is convex,hymenium attachment is not applicable,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
341,Lepiota brunneoincarnata,gills on hymenium,cap is campanulate,hymenium is free,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: deadly
342,Lepiota castanea,gills on hymenium,"cap is campanulate
   or conical",hymenium is adnexed,stipe has a ring,spore print is white,ecology is saprotrophic,edibility: deadly
343,Lepiota castaneidisca,gills on hymenium,cap is campanulate,hymenium is free,stipe has a ring,spore print is white,ecology is saprotrophic,edibility: unknown
344,Lepiota Helveola,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is white,ecology is mycorrhizal,edibility: deadly
345,Lepiota subincarnata,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe has a ring,spore print is white,ecology is mycorrhizal,edibility: deadly
346,Lepista personata,gills on hymenium,"cap is convex
   or flat",hymenium is emarginate,stipe is bare,spore print is pink,ecology is saprotrophic,"edibility: choice
   or can cause allergic reactions"
347,Leratiomyces ceres,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is brown,ecology is saprotrophic,edibility: poisonous
348,Leucoagaricus americanus,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring,spore print is white,ecology is saprotrophic,edibility: not recommended
349,Leucocoprinus birnbaumii,gills on hymenium,"cap is ovate
   or campanulate",hymenium is free,stipe has a ring,spore print is white,ecology is saprotrophic,edibility: poisonous
350,Leucocoprinus brebissonii,gills on hymenium,"cap is conical
   or flat",hymenium is adnexed,stipe has a ring,spore print is white,ecology is saprotrophic,edibility: poisonous
351,Leucocoprinus fragilissimus,gills on hymenium,"cap is campanulate
   or convex",hymenium is free,stipe has a ring,spore print is white,ecology is saprotrophic,edibility: unknown
352,Leucopaxillus albissimus,gills on hymenium,"cap is convex
   or flat",hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
353,Leucopaxillus gentianeus,gills on hymenium,"cap is convex
   or flat",hymenium is adnate,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: inedible
354,Leucopaxillus giganteus,gills on hymenium,"cap is convex
   or flat",hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
355,Leucopholiota decorosa,gills on hymenium,"cap is conical
   or flat",hymenium is adnexed,stipe has a ring,spore print is white,ecology is saprotrophic,edibility: edible
356,Limacella illinita,gills on hymenium,"cap is conical
   or convex",hymenium is free,stipe has a ring,"spore print is cream
   to white",ecology is mycorrhizal,"edibility: inedible
   or unknown"
357,Lingzhi mushroom,pores on hymenium,"cap is offset
   or indistinct",hymenium attachment is irregular or not applicable,"stipe is bare
   or lacks a stipe",spore print is brown,"ecology is saprotrophic
   or parasitic",edibility: edible
358,Lycoperdon curtisii,glebal hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is olive,ecology is saprotrophic,edibility: edible
359,Lycoperdon nigrescens,glebal hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is olive,ecology is saprotrophic,edibility: edible
360,Lycoperdon pulcherrimum,glebal hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is olive,ecology is saprotrophic,edibility: edible
361,Lycoperdon umbrinum,glebal hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is olive,ecology is saprotrophic,edibility: edible
362,Lysurus periphragmoides,smooth hymenium,cap is flat,hymenium attachment is irregular or not applicable,stipe has a volva,spore print is olive-brown,ecology is saprotrophic,"edibility: edible
   or inedible"
363,Macrocybe Titans,gills on hymenium,cap is convex,hymenium is decurrent,stipe is bare,spore print is cream,ecology is saprotrophic,edibility: unknown
364,Macrolepiota procera,gills on hymenium,cap is umbonate,hymenium is free,stipe has a ring,spore print is white,ecology is saprotrophic,edibility: choice
365,Marasmius elegans,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
